"id","text"
"go to products list","vai alla lista prodotti"
"add new product","aggiungi un nuovo prodotto"
"add to chart","aggiungi al carrello"
"my chart","il mio carrello"
"price","prezzo"
"this product is not yet associated with any category","questo prodotto non è ancora associato a alcuna categoria"
"view my orders","visualizza i miei ordini"
"order status","stato dell'ordine"
"orders status","stato degli ordini"
"notes","note"
"{sitename} - Order confirmation N.{ordernumber}","{sitename} - Conferma ordine N.{ordernumber}"
"order summary","riepilogo ordine"
"order status updating","aggiornamento sullo stato dell'ordine"
"year","anno"
"weight","peso"
"width","larghezza"
"height","altezza"
"model","codice"
"depth","profondità"
"please complete the shipping information","compila i dati per la spedizione"
"my orders","i miei ordini"
"order number","numero ordine"
"order details","dettaglio ordine"
"no order","nessun ordine"
"your order has been forwarded","il tuo ordine è stato inoltrato"
"thanks for your order","grazie per il tuo ordine"
"remove from cart","rimuovi dal carrello"
"if you are a registered user, login to the site","se sei già registrato esegui l'accesso"
"if you are a new customer please complete the form below","se sei un nuovo cliente compila il form sottostante"
"order","ordine"
"quantity","quantità"
"content of your cart","contenuto del tuo carrello"
"product added to cart","prodotto aggiunto al carrello"
"exceeded the number of available products","è stato superato il numero di prodotti disponibili"
"available","disponibili"
"no longer in stock currently","non più disponibile al momento"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""

